date,users_active,total_sales,new_customers,report_generated,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
2023-06-01,179,81287.31,9,2023-06-01 16:00,North,519.37,,North,987.06,491,North,880.23,,,244.39,4432,,780.77,2960,East,666.86,926,West,164.12,,North,,925,East,,4582,,508.76,1922,North,418.29,749,East,,4662,West,,756,South,81.97,,East,,
2023-06-02,67,74771.99,5,2023-06-02 16:00,East,,75,South,916.36,4729,West,464.0,,East,698.29,2940,East,,,West,563.7,,West,999.98,,,,3872,South,377.2,,North,630.08,,South,460.89,3285,East,368.55,,West,457.14,,West,482.41,1327,East,,4506
2023-06-03,369,84809.74,11,2023-06-03 16:00,,512.79,2643,East,420.43,2761,South,,2205,South,849.12,273,North,,3132,South,,2736,South,746.48,2525,North,,,North,804.36,4676,North,278.97,3097,West,608.21,142,East,55.81,2839,South,161.89,3339,South,18.71,3484,East,753.98,463
2023-06-04,94,61212.3,3,2023-06-04 16:00,South,,1264,North,16.13,,North,943.72,1312,North,,1351,East,533.27,226,North,,3260,,857.48,4779,West,,,,302.02,100,East,54.08,3245,West,762.84,,,,2509,North,661.14,,,,4517,North,,2294
2023-06-05,402,80911.49,10,2023-06-05 16:00,North,965.78,1108,South,147.12,1516,South,,678,,908.05,4646,West,,970,South,,2516,South,,,,,2780,West,581.45,321,East,4.2,1427,North,204.95,1717,East,979.46,707,West,222.5,394,South,498.87,3364,,678.05,
2023-06-06,479,43124.77,10,2023-06-06 16:00,East,,2991,West,74.27,1175,South,,3262,,10.44,,North,,2723,South,526.47,,East,847.4,,,855.58,,North,234.16,255,West,816.96,,,,,East,,,South,236.61,2345,East,95.44,2352,East,265.16,1517
2023-06-07,218,21758.84,5,2023-06-07 16:00,South,,4629,North,522.34,2670,West,,,South,908.67,352,North,,2309,East,219.07,296,West,317.79,162,South,462.49,157,East,367.13,3546,West,244.03,3543,,731.93,,North,889.94,216,East,,4763,West,87.22,4394,East,,
2023-06-08,265,70662.79,6,2023-06-08 16:00,North,95.53,2010,East,942.46,,West,448.24,2139,West,,2998,East,691.12,,North,,2909,West,610.63,,South,,3979,,21.12,3528,North,86.21,3947,South,335.62,4887,West,,2704,South,115.23,,,940.92,4074,North,,1115
2023-06-09,118,61153.83,5,2023-06-09 16:00,North,566.59,,North,41.29,4326,South,677.86,3063,South,386.07,,,567.85,2083,South,861.06,4714,North,210.29,1990,East,228.66,1598,North,302.76,1678,West,285.29,,North,433.46,3269,North,177.76,3528,South,,1031,West,589.2,3906,South,899.41,
2023-06-10,170,80175.22,11,2023-06-10 16:00,West,,4369,East,930.09,4585,,566.63,,West,,,East,,2650,,,2287,,354.57,,South,427.59,559,East,,,East,687.24,,North,595.27,2096,North,742.93,2767,South,484.1,2547,,,2416,North,459.44,3838
2023-06-11,327,76432.82,5,2023-06-11 16:00,North,689.45,2439,North,656.33,,East,,2352,West,731.47,1646,West,754.78,1300,East,67.45,2090,East,452.3,20,South,755.54,184,South,608.06,321,,,,North,825.33,4243,South,914.51,4235,West,61.24,1687,North,,3652,South,,
2023-06-12,219,55803.75,3,2023-06-12 16:00,North,,851,South,462.78,4120,South,843.34,903,South,,,,,937,East,834.46,1131,West,10.13,3731,West,,,South,,3388,South,927.19,,,942.54,3063,East,34.42,3831,East,78.56,,East,988.73,3549,North,52.9,3798
2023-06-13,256,89165.0,7,2023-06-13 16:00,North,407.49,4527,East,652.22,4903,East,458.34,3532,West,,4411,West,,2392,East,,3027,North,966.41,1871,East,,4223,East,52.06,,,707.13,4787,,899.59,3954,South,,42,South,,4206,South,275.67,3130,North,,576
2023-06-14,162,35310.77,12,2023-06-14 16:00,West,,2487,North,139.67,1701,West,,1865,South,,3818,,598.98,821,,,,,105.27,3363,,245.65,1565,West,,884,,137.98,4437,,,4943,South,,2504,South,,829,East,818.14,1463,South,884.31,
2023-06-15,205,80030.41,8,2023-06-15 16:00,,517.89,1723,North,28.74,861,East,490.98,2779,West,488.4,4532,South,345.55,917,West,,2701,East,80.55,3089,West,,4119,West,53.81,406,East,246.3,3320,South,839.78,2980,South,943.47,652,South,693.02,2462,West,870.15,4227,,535.19,
2023-06-16,418,37341.22,13,2023-06-16 16:00,East,534.94,127,North,,,West,764.91,3003,North,966.28,,South,,1737,,711.83,3956,East,456.12,2350,South,,4005,North,,2166,North,556.87,,,,890,South,,,,,716,,54.8,1435,West,496.99,69
2023-06-17,134,73719.01,3,2023-06-17 16:00,South,542.06,2610,North,,596,West,815.71,,,358.34,56,North,537.63,591,North,159.92,1241,West,489.71,2374,North,423.06,,East,293.94,3506,East,,4501,North,946.7,926,East,104.68,294,,390.24,3286,South,526.37,3724,North,299.41,
2023-06-18,469,88259.76,13,2023-06-18 16:00,North,782.08,4338,North,,,North,523.49,,North,247.85,1148,,149.44,3419,South,745.09,707,North,457.3,,East,984.99,3886,,928.73,,South,903.56,1977,,473.08,1629,South,,4183,,,1220,West,698.86,1329,North,754.29,2635
2023-06-19,405,83266.28,8,2023-06-19 16:00,South,802.29,3965,East,688.51,2212,South,466.32,,West,,,South,759.99,2514,East,,761,North,,,South,175.49,,North,,1161,West,,334,South,,,North,445.07,2036,East,463.55,3105,West,257.07,1921,North,922.23,228
2023-06-20,197,61980.23,7,2023-06-20 16:00,South,899.67,3205,West,,,East,,335,West,930.45,1477,West,757.99,1232,South,,2084,North,,184,,435.86,2831,North,,1146,,696.9,4331,South,491.85,4666,North,199.69,3592,West,,994,South,,3022,West,,306
2023-06-21,250,41100.58,2,2023-06-21 16:00,North,978.14,3661,West,,1964,North,816.46,,East,525.4,3845,West,,4938,North,813.36,2457,West,907.55,2424,South,,,,,,South,297.9,,North,443.16,3227,South,141.69,,North,326.55,3350,East,753.7,,West,903.34,
2023-06-22,416,29874.64,11,2023-06-22 16:00,East,92.18,,West,,2327,West,,1727,,76.62,4905,North,249.94,3857,North,714.78,4367,East,175.35,4867,East,508.92,,West,997.0,4106,South,187.8,4827,,,1287,North,441.31,3797,South,,2941,West,,1352,East,607.42,
2023-06-23,430,53883.13,9,2023-06-23 16:00,North,850.02,4239,East,,,,,3683,South,729.98,1416,,708.02,3476,South,369.14,1111,West,285.3,2604,,746.9,4099,West,998.19,2598,East,445.88,3194,East,215.03,2176,East,583.34,2764,West,100.34,3256,East,,,West,,
2023-06-24,483,75958.39,11,2023-06-24 16:00,,956.44,1322,South,629.81,3922,West,211.25,2886,East,359.32,4045,South,,4885,North,641.14,,West,202.17,,South,879.4,,North,747.94,4347,East,,3868,West,,3757,East,66.4,3428,West,,,West,159.34,611,South,274.92,2539
2023-06-25,400,71666.22,1,2023-06-25 16:00,South,661.13,,South,235.5,243,South,86.21,1110,North,935.95,883,East,537.11,,North,508.4,68,North,,,East,238.23,,West,836.62,1814,,302.97,603,North,706.87,3741,East,449.12,,East,30.41,4609,,830.21,644,North,530.42,
2023-06-26,69,39068.22,12,2023-06-26 16:00,West,,3481,,,2257,North,36.99,4480,South,,2923,East,237.06,1283,East,364.23,,East,552.12,701,South,380.78,4871,East,,,South,998.86,2584,,687.11,3887,,,4323,,,,South,,,West,82.93,4335
2023-06-27,76,35872.54,4,2023-06-27 16:00,West,,,East,644.01,2503,West,755.78,184,West,599.84,2872,East,811.86,,South,,1124,North,778.98,3198,West,463.25,4779,South,508.05,387,East,328.6,2011,West,341.95,2644,South,,4535,East,890.87,2180,East,892.71,,West,,
2023-06-28,270,31646.37,9,2023-06-28 16:00,,,3176,South,,,West,,4217,West,254.56,,North,368.33,3040,South,938.66,3010,South,980.72,2800,North,936.07,2421,,424.33,2305,West,420.25,179,South,109.3,,,279.92,1354,North,124.58,,,547.19,,East,302.42,4073
2023-06-29,228,46509.93,1,2023-06-29 16:00,North,213.32,,North,,2070,,53.73,1266,East,34.07,1719,,742.44,3880,South,31.69,,East,272.52,3670,North,549.17,3422,,,,North,607.81,120,North,399.37,,East,,1135,East,356.16,505,North,,856,West,,3268
2023-06-30,497,51181.34,7,2023-06-30 16:00,North,,,East,,3402,West,943.98,,East,43.21,,West,,3492,East,473.09,1661,South,678.97,24,North,563.8,,East,150.47,,North,,,West,,,South,709.65,2208,West,752.02,3364,North,,732,West,9.56,1765
2023-07-01,470,25400.22,5,2023-07-01 16:00,East,266.34,4446,North,,1155,,601.91,770,West,361.86,1695,,774.13,1492,North,104.84,723,West,142.89,4232,East,524.33,179,West,155.98,108,West,519.06,,North,436.67,,South,751.07,4357,East,807.5,1825,North,886.29,2372,South,415.06,4295
2023-07-02,458,29939.32,9,2023-07-02 16:00,West,217.87,2787,South,121.88,4793,,63.85,4797,,223.83,2833,,692.46,,South,815.93,,East,,1190,,,2477,East,557.58,3053,North,162.46,2017,East,,,,479.91,2748,,,1185,East,,,South,338.3,4473
2023-07-03,240,72595.61,8,2023-07-03 16:00,East,90.35,4289,East,,,North,641.4,4454,East,328.36,,East,134.61,577,North,634.13,,West,286.85,2164,North,883.72,1271,South,,1302,North,580.57,4671,South,,1836,West,574.56,3484,North,800.78,970,East,,,,181.78,1947
2023-07-04,255,84322.06,3,2023-07-04 16:00,East,251.37,1440,East,591.35,2549,South,,,West,,3618,South,451.81,25,East,,2033,East,222.5,4474,,111.24,3130,East,,940,North,,3679,West,,,South,230.44,,West,918.58,3841,South,,,West,,5
2023-07-05,288,20825.27,11,2023-07-05 16:00,South,315.38,,East,,,West,827.54,,East,,3600,,,2148,,376.88,256,North,,,South,825.68,4997,East,,2260,North,579.57,1225,,,142,North,878.02,1679,South,325.42,164,,920.38,697,East,,2933
2023-07-06,130,43875.28,8,2023-07-06 16:00,South,,,South,308.69,1431,,428.98,,South,,2851,East,537.16,3190,East,190.41,2388,East,150.46,794,East,,1838,,191.09,3957,West,942.21,2915,East,,2944,East,325.36,4058,West,779.77,2177,North,,2337,West,,3265
2023-07-07,187,64121.7,12,2023-07-07 16:00,North,431.21,1402,West,870.85,1810,South,611.25,1442,South,416.85,3684,East,,,,98.04,,South,835.9,2081,,,,South,,,East,,4977,,407.76,465,South,,3827,North,484.78,,West,420.16,1388,East,911.74,
2023-07-08,287,79016.27,1,2023-07-08 16:00,,311.11,1543,South,838.11,,,289.94,,North,,4414,South,,1232,West,,4736,West,,3640,East,701.87,1078,East,661.84,3076,West,,446,South,,1961,East,451.38,1991,East,278.29,3132,West,785.81,2171,South,806.38,4509
2023-07-09,327,89585.41,6,2023-07-09 16:00,West,,,,881.52,2635,South,827.22,2540,East,656.23,,West,235.06,2561,South,415.44,,East,,4248,East,273.88,,West,272.81,,West,,4980,West,,1738,,710.37,1060,North,397.13,4937,,,4501,West,608.62,2920
2023-07-10,251,70860.23,13,2023-07-10 16:00,West,462.18,,West,,4870,East,,4369,West,699.54,2310,,,242,,584.31,2168,West,311.39,1989,East,,3200,North,683.2,4498,South,147.87,2234,North,,2487,South,487.76,2977,,459.03,2625,North,699.59,2308,West,37.31,189
2023-07-11,333,53496.91,12,2023-07-11 16:00,South,847.59,2263,East,335.79,2604,West,823.24,4614,East,771.36,,South,720.88,222,North,687.98,861,North,,1115,,938.35,2871,South,65.08,512,East,847.09,1679,North,763.12,,South,160.8,46,East,249.0,1580,North,907.31,66,South,872.63,
2023-07-12,478,70188.93,7,2023-07-12 16:00,,,1144,,,,East,89.8,4660,West,,2926,,493.34,,,608.98,,East,391.24,2274,West,846.52,,South,687.32,1242,South,,,,205.51,,North,780.29,4633,West,23.41,2853,North,350.92,1240,East,941.19,
2023-07-13,163,41334.21,13,2023-07-13 16:00,,161.85,,West,24.11,1225,South,523.47,4240,South,851.42,2092,North,,2777,North,974.0,,East,,2264,East,,489,South,64.79,4373,North,49.0,1466,South,12.2,1312,South,,,South,,,West,,773,East,,3975
2023-07-14,284,60764.59,10,2023-07-14 16:00,,366.0,810,North,,2030,North,585.09,2845,East,100.34,,West,845.9,,South,79.39,1188,West,,2416,,135.19,,East,762.22,2330,West,477.09,995,,599.99,,East,61.82,1902,South,228.43,214,West,663.72,,,405.52,
2023-07-15,353,50805.07,4,2023-07-15 16:00,,,,South,614.98,2314,,318.92,688,North,,147,North,395.71,,,,,North,,4487,East,432.95,3336,,44.02,1484,West,459.91,,West,,1560,North,,,West,461.67,,South,,1764,South,133.16,1563
2023-07-16,310,87855.04,10,2023-07-16 16:00,North,47.33,,West,731.81,,North,928.61,47,South,59.67,1223,,931.06,4091,North,458.49,,South,889.69,762,,388.61,4092,North,613.11,,West,,2637,East,757.95,3870,South,210.27,866,,,3888,East,350.14,3055,West,,3978
2023-07-17,135,71544.65,7,2023-07-17 16:00,West,360.8,,South,,,East,919.39,,,,1782,South,107.63,3713,East,272.22,1289,West,532.87,2238,,809.63,1792,South,182.83,3884,South,,1227,South,,3367,West,,3297,,2.38,,West,240.92,1405,,813.06,
2023-07-18,184,25306.53,7,2023-07-18 16:00,West,,548,East,,,South,,3145,North,,4223,South,,1424,,231.51,964,,83.82,2769,South,789.28,1627,South,437.42,,West,859.48,3025,West,,3772,North,925.12,2856,East,430.0,3745,,862.7,1607,South,957.94,949
2023-07-19,201,87800.8,5,2023-07-19 16:00,East,40.53,1406,West,,1152,West,931.3,,South,236.4,3177,South,258.79,3713,North,567.1,1895,South,894.18,3467,,,4520,South,118.3,3336,West,515.48,,East,722.72,840,East,254.18,,,128.62,701,,,1309,East,,
2023-07-20,279,50891.26,8,2023-07-20 16:00,West,758.11,2399,West,845.1,3165,North,714.52,3752,,,3986,South,,4950,North,,3294,,84.64,800,West,104.24,3377,,,4759,North,591.73,3464,,737.58,3826,,728.82,2783,,,2813,East,849.99,3886,East,,
2023-07-21,51,56262.4,10,2023-07-21 16:00,South,286.93,2343,North,767.73,4087,East,,1852,East,58.66,,South,499.83,845,North,962.32,1898,East,386.38,609,North,460.44,2951,,104.79,1087,West,683.11,,West,315.65,1928,West,411.99,635,West,,4357,West,209.76,,East,,4703
2023-07-22,206,89094.16,7,2023-07-22 16:00,South,683.44,3447,East,,3730,South,494.17,,South,929.74,1139,South,723.43,1333,,752.72,,,527.11,195,East,350.79,2230,,803.75,,East,256.28,3987,West,,2474,South,,638,South,744.18,,East,928.26,2426,East,399.39,4911
2023-07-23,253,79589.81,14,2023-07-23 16:00,,,2877,North,391.21,,South,766.62,,West,912.34,3263,East,308.73,2270,East,319.61,4938,North,,4080,West,518.85,2618,East,235.27,4559,,941.66,181,West,922.3,2006,South,231.81,2676,,,3447,East,,3735,South,561.95,2410
2023-07-24,128,51213.4,13,2023-07-24 16:00,East,279.93,3143,North,569.07,,West,496.44,,North,44.62,3178,North,,4694,West,280.97,,North,,4593,East,375.69,3674,North,,2075,South,180.6,,East,78.02,376,West,441.33,4829,West,651.87,4070,West,346.8,4051,West,322.76,60
2023-07-25,98,20780.11,6,2023-07-25 16:00,East,132.3,1818,East,117.57,2430,South,326.82,4068,West,,2065,South,,2351,East,291.93,1997,East,771.83,3762,North,,3424,West,451.6,2770,West,,3560,North,39.09,2877,East,988.43,2832,North,357.65,4442,,838.67,2651,,119.92,3857
2023-07-26,101,58400.39,12,2023-07-26 16:00,,221.83,,South,950.11,861,South,,3413,South,880.26,3953,,527.37,4988,West,,4613,North,,,West,938.71,1034,North,,480,North,105.75,3669,East,984.87,685,,644.3,423,West,675.28,3015,West,885.4,2825,West,440.73,
2023-07-27,424,59888.47,11,2023-07-27 16:00,East,876.15,1250,South,91.99,1860,West,677.75,,East,617.14,2336,,951.31,1128,North,,2161,,851.77,,East,19.3,1319,North,,1799,South,522.1,229,East,254.95,2034,West,199.11,,North,831.48,2473,North,83.32,3555,,,18
2023-07-28,479,24874.18,11,2023-07-28 16:00,South,255.23,3273,South,,379,West,16.42,3944,,234.67,205,East,943.21,1591,North,55.1,180,South,,1033,,565.66,2954,East,,1526,West,280.6,4174,,,1440,North,762.03,2933,North,751.23,,North,803.4,3239,North,441.37,
2023-07-29,496,72317.91,10,2023-07-29 16:00,West,718.35,3411,East,547.66,2796,South,246.0,,East,694.57,705,,357.88,3189,North,824.31,3095,South,,2171,North,726.99,3910,West,35.93,303,South,518.58,,East,567.1,1310,North,,,West,411.48,,,131.73,2636,East,,
2023-07-30,170,25357.15,8,2023-07-30 16:00,East,448.19,,West,813.7,4839,,67.28,3236,North,23.86,82,East,443.52,3564,East,592.72,853,West,885.7,1193,,376.07,3000,,431.0,,North,384.67,4247,North,803.4,680,South,567.65,3046,North,474.11,2191,East,686.65,4797,North,394.86,2851
2023-07-31,296,58475.42,4,2023-07-31 16:00,,,576,North,825.29,,South,,1067,East,,3283,North,655.75,,North,642.68,2942,West,32.64,1022,North,363.05,2667,South,,,West,671.42,2405,West,701.02,1122,West,917.15,,,239.8,4409,North,985.19,,North,,2737
2023-08-01,356,21794.96,9,2023-08-01 16:00,South,183.85,,South,51.74,499,East,,880,North,823.94,,South,122.84,84,North,,4780,South,273.08,91,West,892.85,3497,South,881.77,4811,West,,3582,West,220.86,306,East,991.22,3482,West,,4104,,292.46,681,North,279.02,3514
2023-08-02,390,61505.6,1,2023-08-02 16:00,West,169.29,,East,50.53,,West,,771,North,890.25,,North,672.49,2618,North,761.3,3835,,,,West,20.71,3893,,676.54,,South,173.56,1297,North,,4494,North,,2739,West,,3371,East,27.35,3752,South,,133
2023-08-03,252,55084.49,9,2023-08-03 16:00,,276.56,2414,,,,East,803.13,,East,,,West,507.16,2091,South,,,West,377.84,2105,,753.0,4015,North,19.27,4950,North,649.07,3815,East,478.47,2959,South,614.77,1736,North,581.03,619,North,517.74,,North,173.05,2341
2023-08-04,183,40284.44,13,2023-08-04 16:00,North,726.0,2539,East,415.9,,West,314.48,4804,North,550.27,3990,,728.02,3841,East,752.76,,North,463.69,657,North,86.46,,East,888.44,2832,North,,3838,West,573.81,,,337.63,,,,,South,230.69,,North,,4035
2023-08-05,245,39210.05,11,2023-08-05 16:00,East,,1458,South,63.65,2268,North,750.01,,West,722.87,4259,West,329.06,,,73.34,,South,674.97,2048,East,513.26,1736,,731.19,2834,,,,West,660.38,641,,233.45,4060,West,114.92,784,North,,4373,,586.69,4192
2023-08-06,357,35373.18,4,2023-08-06 16:00,,106.31,,West,944.03,4372,East,840.28,3649,North,,,South,174.71,3649,,863.01,1778,,,,West,154.79,,North,811.08,3636,East,110.73,4971,North,,4291,North,,780,,,,East,500.42,,West,285.14,820
2023-08-07,259,71681.48,11,2023-08-07 16:00,West,186.35,1120,East,,923,South,40.21,2193,East,209.4,,,,2446,South,296.49,4728,North,425.54,,West,829.34,2361,South,49.97,,East,829.83,4760,South,,1473,South,500.32,4752,North,249.17,353,North,,2429,East,,
2023-08-08,73,23864.02,5,2023-08-08 16:00,North,,2708,,,,,77.92,3495,East,984.41,,,,1720,North,362.53,3616,North,166.78,3829,East,,187,,357.42,,North,712.54,906,,355.44,2192,West,797.1,1169,South,,2029,North,741.37,572,South,,1551
2023-08-09,324,50388.98,5,2023-08-09 16:00,West,,2968,,850.81,3949,West,58.97,1510,East,640.71,,West,208.89,3597,North,,3248,North,386.56,4913,West,797.88,,East,,,North,195.5,2134,South,495.0,4788,,904.91,4624,North,905.03,,South,354.45,4531,,,
2023-08-10,426,54543.21,5,2023-08-10 16:00,East,,2068,North,692.56,,East,466.97,1664,South,159.55,2013,South,266.48,,West,447.33,1907,,508.4,2589,South,995.57,598,West,561.88,3373,East,,1676,West,,3377,South,,1805,North,108.63,,East,226.69,4864,,340.05,
2023-08-11,243,76638.5,2,2023-08-11 16:00,North,,2893,South,,,East,,4103,West,876.91,2325,South,710.79,,North,,2469,West,589.02,2424,South,428.9,,East,,1068,West,,,West,423.49,,,690.47,2926,East,527.01,,,578.67,1064,North,,3498
2023-08-12,202,85415.0,14,2023-08-12 16:00,East,,,West,,489,South,,,South,,1107,East,,924,West,,,West,916.7,3789,West,,1677,South,878.83,348,South,854.13,2465,East,281.41,4031,South,576.38,3550,South,483.57,522,North,641.39,,,,872
2023-08-13,436,72075.8,8,2023-08-13 16:00,West,558.91,1724,South,,4758,,360.82,,West,370.41,4589,,207.17,3638,North,340.18,,,759.78,2706,West,,358,North,317.58,,,936.24,,,495.54,2033,South,989.56,4536,South,642.11,,East,90.34,35,East,526.26,1323
2023-08-14,365,76699.61,2,2023-08-14 16:00,East,725.89,3744,West,,,,,199,,239.22,3532,,67.75,3118,,3.37,339,,749.78,293,,640.82,1611,East,358.12,,South,827.34,,East,574.94,,North,860.27,2876,East,597.77,2151,,813.34,4681,,287.02,
2023-08-15,432,21972.66,10,2023-08-15 16:00,East,581.56,4892,West,587.32,3985,West,,2100,South,,,North,140.27,173,,,,,539.32,,South,,127,,,1637,West,340.09,1724,North,452.85,,East,,,,480.44,,West,589.24,4717,South,959.01,
2023-08-16,386,72777.46,7,2023-08-16 16:00,North,355.5,2102,,638.18,348,North,858.48,,West,695.77,2072,East,,779,,,,East,102.87,1782,North,,667,West,,3373,West,93.6,2947,,928.1,,North,736.75,4449,West,,2749,West,50.78,4218,West,790.9,
2023-08-17,146,49619.28,7,2023-08-17 16:00,East,,4281,North,,4063,,,,West,,1884,North,574.91,,West,424.66,4877,West,,612,North,63.59,2584,,,263,,520.66,,North,,4390,South,,,South,,,North,,2118,,860.17,1556
2023-08-18,104,26609.8,13,2023-08-18 16:00,South,,291,South,790.63,4842,,,2453,South,848.42,,West,299.72,,West,427.54,4079,South,,25,North,,1540,West,,2048,West,293.56,3384,South,,751,East,122.34,,West,749.03,,North,854.49,4600,East,352.28,2908
2023-08-19,485,47208.16,4,2023-08-19 16:00,East,567.52,,,,,,35.33,1182,West,348.88,4865,East,512.54,1130,West,499.4,,,620.62,487,North,676.5,2515,South,,1857,South,588.13,,,,951,North,863.86,,,220.53,3977,North,494.08,3622,North,939.45,2733
2023-08-20,153,38011.53,3,2023-08-20 16:00,North,,1071,North,,1906,East,534.2,,South,,1296,North,141.65,,North,84.31,3547,,64.84,,East,907.0,,East,615.26,2013,,,,North,0.86,959,,,,North,861.98,3369,East,849.96,4345,East,150.08,4010
2023-08-21,224,36478.5,10,2023-08-21 16:00,South,,,West,,4275,,,1373,North,462.74,68,East,275.77,,North,,4065,South,,,,672.52,1408,,14.92,1464,North,,,South,862.78,,East,53.16,3092,South,832.9,3669,North,,,South,,3419
2023-08-22,88,39029.3,1,2023-08-22 16:00,,736.57,,,258.38,4260,West,,3118,,,,North,31.58,,North,213.78,1885,,,,South,169.68,552,South,262.18,4031,South,482.39,65,North,625.51,681,North,117.1,2381,South,847.39,,North,644.09,,West,639.83,2243
2023-08-23,434,79330.42,1,2023-08-23 16:00,,585.26,4740,South,649.33,,,195.88,4202,South,734.44,,North,,,South,887.08,4413,North,928.85,696,West,,1195,West,,3009,West,658.98,3284,West,,4645,South,238.15,2839,,703.8,,East,358.52,2099,East,854.07,725
2023-08-24,294,67872.13,5,2023-08-24 16:00,,,1406,North,631.82,990,South,395.59,1449,West,,2142,North,522.62,4065,East,166.06,,West,60.18,776,West,,1587,West,326.2,3497,North,558.19,,North,,,West,757.1,4883,East,459.05,,West,590.56,,West,825.71,
2023-08-25,391,74551.86,12,2023-08-25 16:00,South,,3439,,,1112,West,743.86,,North,109.15,1118,East,287.17,2928,North,182.35,1019,North,105.74,4726,East,,,West,,937,East,694.91,,East,196.38,,North,328.94,348,East,332.88,975,West,216.47,2086,North,880.8,826
2023-08-26,473,59611.99,7,2023-08-26 16:00,,24.99,4152,South,,3151,West,221.56,3556,North,,4660,,336.65,4749,North,,1156,North,861.08,2519,,,1330,North,636.21,1762,,607.3,692,,,3716,West,,1008,South,373.4,,West,869.03,369,North,737.92,2149
2023-08-27,445,43994.45,8,2023-08-27 16:00,North,256.88,,East,,944,South,584.12,3020,West,,1768,West,881.47,,South,491.36,,East,,2845,East,663.71,,South,145.93,,North,917.86,1265,West,21.12,,West,209.16,614,West,314.49,4506,West,296.7,3142,,137.51,4103
2023-08-28,305,43937.07,13,2023-08-28 16:00,,,,North,,1326,,391.21,,North,,4328,West,96.45,3976,West,78.28,1244,,811.36,,West,829.24,,North,,,,,2333,North,671.37,2361,West,,,East,,3083,West,835.6,,North,,2278
2023-08-29,99,75467.18,11,2023-08-29 16:00,East,182.02,2338,East,,3514,East,,1088,West,421.97,4298,South,,4643,,295.49,,East,,952,East,,3400,North,547.17,,South,759.25,858,North,,2082,North,765.58,,South,,55,North,,219,East,409.81,327
2023-08-30,114,69339.89,3,2023-08-30 16:00,South,69.21,112,South,,,North,743.12,2821,West,,361,South,476.66,660,East,100.77,936,West,757.22,,,80.79,3452,West,,3154,East,,4738,East,832.01,3655,West,,3681,,,3170,South,943.86,949,East,686.87,
2023-08-31,248,59735.48,1,2023-08-31 16:00,East,,3577,,52.53,,North,290.09,4714,West,150.65,1733,East,775.73,,North,550.36,,South,322.41,,North,,4144,,,3002,South,944.7,1282,East,602.15,,North,374.78,995,South,501.02,1824,South,3.84,,North,,
2023-09-01,223,33835.78,14,2023-09-01 16:00,South,140.67,3785,,,,West,,,,272.85,1539,West,,,,,864,,914.26,434,East,134.24,,West,970.46,,South,139.93,3643,East,693.19,3950,South,238.44,,North,,3069,South,452.42,1010,East,455.02,2777
2023-09-02,154,67494.54,6,2023-09-02 16:00,North,132.45,4306,North,466.49,,West,408.97,2740,South,546.19,2207,East,,1561,North,617.38,,West,,3183,West,697.75,3211,East,,3705,East,810.23,,South,861.34,4357,East,880.35,3292,West,743.75,3580,North,388.08,566,South,974.35,4213
2023-09-03,358,32363.69,12,2023-09-03 16:00,East,127.94,,North,975.69,1412,North,,,,203.38,4527,West,,3926,West,955.45,,South,785.15,603,East,,528,East,,3887,,300.27,4608,West,893.4,1066,,,2202,East,318.48,1908,East,,1367,West,,2735
2023-09-04,308,85615.4,3,2023-09-04 16:00,South,909.43,3620,,302.03,4214,North,,1940,North,416.03,3488,North,640.73,3775,West,779.75,4980,North,54.33,1706,North,314.57,1073,North,906.17,4803,West,462.26,1708,West,,,West,66.86,1250,North,,4073,North,,,South,803.56,1669
2023-09-05,92,70036.99,5,2023-09-05 16:00,East,,4239,West,543.53,,South,,3023,,222.27,,,,3087,South,611.17,,North,266.35,,North,228.39,1963,East,,,West,847.98,,South,886.8,4778,North,,,South,352.5,2806,,817.65,,East,204.95,3049
2023-09-06,231,49325.31,12,2023-09-06 16:00,East,5.04,,South,872.47,,North,442.31,,,,3801,South,69.01,,,,,West,611.14,,West,481.61,2267,East,463.89,,North,,2024,West,757.68,1277,East,,,West,175.04,2784,East,,4183,North,484.02,
2023-09-07,366,78588.39,6,2023-09-07 16:00,North,731.32,,East,618.14,,East,743.8,,West,,301,East,975.8,,East,77.09,,North,489.77,862,East,700.64,1599,North,,1876,,639.66,4224,North,,3737,South,128.85,1707,West,17.39,3329,South,137.15,3390,North,,
2023-09-08,80,85492.22,6,2023-09-08 16:00,East,330.45,2672,South,612.04,4159,,,2626,,210.35,,,28.2,2512,East,523.07,4828,North,,2293,,777.16,,West,241.65,3355,West,,1835,North,,,,423.55,2280,,,3020,West,544.1,4821,North,496.35,1489
